SB71,2012-05-02,79.3057,81.5857,0,80.8107,34751500,
ABBANK,2012-05-02,51,52,50.7,51.2,431800,
ACI,2012-05-02,253.9,253.9,245.1,246.1,46950,
ACIFORMULA,2012-05-02,149.8,152.8,146,147.5,176800,
ACTIVEFINE,2012-05-02,74.9,75.4,71.2,72.1,1415500,
AFTABAUTO,2012-05-02,151,156.5,151,154.8,409450,
AGNISYSL,2012-05-02,31.8,32.2,30.5,30.9,576500,
AGRANINS,2012-05-02,37.5,39.9,37.5,38,28000,
AL-HAJTEX,2012-05-02,31.9,32,29.9,30.2,39600,
AMBEEPHA,2012-05-02,320,320,308.4,310.5,4500,
AMCL(PRAN),2012-05-02,134.9,135.6,133.2,134.2,6600,
ANLIMAYARN,2012-05-02,23,23.3,22.5,23,96500,
APEXFOOT,2012-05-02,282.2,283.9,272.4,280.5,18200,
APEXFOODS,2012-05-02,72.9,73.1,71.5,72.2,1450,
APEXSPINN,2012-05-02,92,92.2,90.1,91.6,5400,
APEXTANRY,2012-05-02,117,121,116,120.1,151400,
ARAMIT,2012-05-02,284,293,283,290.2,13900,
ARAMITCEM,2012-05-02,113,118,109.2,111.2,40500,
ASIAINS,2012-05-02,58,60.9,58,58.7,227000,
ASIAPACINS,2012-05-02,33.9,35.5,33.4,35,222000,
ATLASBANG,2012-05-02,213,217.3,212.9,214.1,8050,
BANGAS,2012-05-02,138,139.9,130.6,133.3,3250,
BANKASIA,2012-05-02,27,27.7,27,27.1,313000,
BATASHOE,2012-05-02,545.9,546,535,536.4,12800,
BATBC,2012-05-02,592,597,592,593.7,2000,
BAYLEASING,2012-05-02,57.9,59.4,57.2,57.8,139500,
BDFINANCE,2012-05-02,47.4,47.4,45.3,45.5,377000,
BDLAMPS,2012-05-02,172.4,173,166.6,169.6,15150,
BDTHAI,2012-05-02,46.5,47.6,46.1,46.9,387600,
BDWELDING,2012-05-02,33.4,34,33,33.2,211500,
BEACHHATCH,2012-05-02,38,38.2,37.1,37.3,139500,
BARKAPOWER,2012-05-02,49.2,50,48.5,48.7,660200,
BERGERPBL,2012-05-02,553.9,553.9,543,544.7,650,
BEXIMCO,2012-05-02,107,109,106.5,107.4,1136900,
BGIC,2012-05-02,41,41.8,40.7,40.8,144300,
BIFC,2012-05-02,40.3,40.3,38.5,38.6,26500,
BRACBANK,2012-05-02,35.5,35.8,35.2,35.4,239500,
BSC,2012-05-02,429,439,423,427.25,27455,
BSRMSTEEL,2012-05-02,105,107.5,104.2,104.7,540500,
BXPHARMA,2012-05-02,99,100.9,96.4,96.8,2289450,
BXSYNTH,2012-05-02,37,37,35.8,36.1,369200,
CENTRALINS,2012-05-02,40.1,43,40.1,41.4,75400,
CITYBANK,2012-05-02,38,38.9,37.9,38.1,614550,
CITYGENINS,2012-05-02,32,32.4,31.5,31.7,103200,
CMCKAMAL,2012-05-02,34,35,34,34.5,516700,
CONFIDCEM,2012-05-02,157.4,163.8,157.4,159.5,729140,
CONTININS,2012-05-02,39,39,36.9,37.9,510500,
CVOPRL,2012-05-02,245,259,235,251.5,52800,
DACCADYE,2012-05-02,48.9,51.4,48.8,49.8,552000,
DAFODILCOM,2012-05-02,19.2,19.4,18.7,19.1,129000,
DBH,2012-05-02,90.9,94,90.9,92,109000,
DELTASPINN,2012-05-02,30,30.5,29.7,30.1,250800,
DESCO,2012-05-02,106.8,106.9,102.7,103.2,459500,
DESHBANDHU,2012-05-02,37.7,38.2,36.8,37.1,824500,
DHAKABANK,2012-05-02,35.5,35.9,34.5,35.5,532500,
DHAKAINS,2012-05-02,103.5,110.4,103.5,109.6,88000,
DUTCHBANGL,2012-05-02,125.6,127.3,124.1,124.3,57500,
EASTERNINS,2012-05-02,51.9,53.5,51.1,51.5,36200,
EASTLAND,2012-05-02,93.9,94.5,90.5,92,142000,
EASTRNLUB,2012-05-02,340,340,332,333.3,1400,
EBL,2012-05-02,47.1,47.1,45.4,45.8,316000,
ECABLES,2012-05-02,63.1,64.5,63,63.2,13400,
EHL,2012-05-02,73.9,75.6,73.3,73.5,228000,
EXIMBANK,2012-05-02,22.5,22.6,22,22.3,718900,
FAREASTLIF,2012-05-02,190.3,197.8,190.3,196,114250,
FEDERALINS,2012-05-02,34,36,33.6,35.2,108400,
FINEFOODS,2012-05-02,30.3,30.5,29.6,29.7,43000,
FIRSTSBANK,2012-05-02,20.5,21.3,20.5,21,196800,
FIRSTFIN,2012-05-02,57.2,58.6,55.9,56.3,188000,
FUWANGCER,2012-05-02,37,37.5,36.2,36.5,454500,
FUWANGFOOD,2012-05-02,40.3,40.8,38.1,38.4,1212000,
GEMINISEA,2012-05-02,229,230,221,225.6,1200,
GLAXOSMITH,2012-05-02,593,621.9,592.5,615.1,5900,
GLOBALINS,2012-05-02,37.8,39.5,36.8,37.2,118500,
GOLDENSON,2012-05-02,56.1,62.2,56.1,61.4,1631000,
GP,2012-05-02,217.8,220.9,216.7,219.6,1117800,
GQBALLPEN,2012-05-02,216,216,210.8,212.8,71600,
GREENDELT,2012-05-02,130.2,133,130.2,131.6,8400,
HEIDELBCEM,2012-05-02,221.4,221.4,216.2,216.6,10100,
HRTEX,2012-05-02,30.6,32.5,29.4,31.5,267000,
IBNSINA,2012-05-02,132.8,136.2,132.8,135.1,29300,
ICB,2012-05-02,2070,2142.25,2070,2142.25,2800,
IDLC,2012-05-02,131.8,136.5,131.8,135.9,399600,
IFIC,2012-05-02,68.1,68.5,65.8,66.1,499700,
ILFSL,2012-05-02,38.5,38.5,37.2,37.6,289000,
INTECH,2012-05-02,22.8,22.8,22.7,22.8,113500,
IPDC,2012-05-02,31.8,32.5,30.3,30.9,112000,
ISLAMIBANK,2012-05-02,46,46.5,45.6,45.9,867300,
ISLAMICFIN,2012-05-02,41.8,42.8,41,41.6,330500,
ISLAMIINS,2012-05-02,35,35.8,34.9,35.1,5000,
ISNLTD,2012-05-02,30.5,32.3,30.5,31.4,74500,
JAMUNAOIL,2012-05-02,269.7,280.8,269.7,277,911800,
JUTESPINN,2012-05-02,109.2,109.4,106,106.2,4600,
KEYACOSMET,2012-05-02,50.6,51.8,49.8,50.2,1585000,
KPCL,2012-05-02,61,62.2,61,61.6,907500,
LANKABAFIN,2012-05-02,111,112.5,107,108,1924000,
LEGACYFOOT,2012-05-02,35,36.8,34.8,36.3,175500,
LIBRAINFU,2012-05-02,275,275,274,274.3,600,
LINDEBD,2012-05-02,573,588,573,582.8,3950,
MAKSONSPIN,2012-05-02,20.4,21.2,20.4,20.4,485500,
MALEKSPIN,2012-05-02,22.9,23,22.2,22.3,319000,
MARICO,2012-05-02,375,376.2,375,375.6,3300,
MEGHNACEM,2012-05-02,149,150.9,145.4,148,59100,
MEGHNALIFE,2012-05-02,195,199.5,194,195.5,127400,
MERCANBANK,2012-05-02,22.8,22.8,22,22.1,805000,
MERCINS,2012-05-02,37.3,37.8,36.6,37,165500,
METROSPIN,2012-05-02,23.9,24.1,23.2,23.3,210500,
MICEMENT,2012-05-02,117.4,122.6,117.4,119.6,752600,
MIDASFIN,2012-05-02,67.4,67.8,65,65.8,33000,
MITHUNKNIT,2012-05-02,109.8,109.8,106.5,107,47000,
MJLBD,2012-05-02,98.5,101,98,99.1,659300,
MONNOCERA,2012-05-02,48,48.2,44,45.6,55450,
MONNOSTAF,2012-05-02,206.1,207,206.1,206.3,250,
MPETROLEUM,2012-05-02,223.5,232,223.5,228.4,968900,
MTB,2012-05-02,28.5,28.5,27.7,27.8,245000,
NAVANACNG,2012-05-02,108,110.5,106.5,108.1,303600,
NBL,2012-05-02,34.8,35.2,34.6,34.9,2276000,
NCCBANK,2012-05-02,22.8,23.1,22.5,22.6,592750,
NHFIL,2012-05-02,74.4,74.5,71.6,72.4,97500,
NITOLINS,2012-05-02,44.1,44.5,43.8,43.9,61000,
NORTHRNINS,2012-05-02,44.4,44.4,44.4,44.4,126000,
NPOLYMAR,2012-05-02,49,49.8,48,48.3,11200,
NTC,2012-05-02,555,560.1,555,560,2150,
NTLTUBES,2012-05-02,73.9,73.9,70.5,71,21800,
OCL,2012-05-02,58.5,58.5,57.2,57.6,23500,
OLYMPIC,2012-05-02,142,151,142,145,742000,
ONEBANKLTD,2012-05-02,30.7,30.8,30.3,30.5,715500,
ORIONINFU,2012-05-02,47.5,51,47.5,49.9,308400,
PARAMOUNT,2012-05-02,30.7,32.2,30.7,31.3,103500,
PHARMAID,2012-05-02,230,240,227.6,229.6,89650,
PHENIXINS,2012-05-02,78.7,78.8,72,73.6,286800,
PHOENIXFIN,2012-05-02,77.9,78.9,75.3,76,269000,
PIONEERINS,2012-05-02,94.9,94.9,89,90.1,70000,
POPULARLIF,2012-05-02,222,222,210.1,211.1,18000,
POWERGRID,2012-05-02,69,72,69,69.3,215500,
PRAGATIINS,2012-05-02,77.9,77.9,75,75,11700,
PRAGATILIF,2012-05-02,222.9,223,215.5,219.7,5000,
PREMIERBAN,2012-05-02,21.7,21.7,21,21.2,423000,
PREMIERLEA,2012-05-02,27.4,27.9,26.7,26.8,563500,
PRIMEBANK,2012-05-02,36.7,37.7,36.6,36.8,507500,
PRIMEFIN,2012-05-02,76.8,79,76.4,77.5,358900,
PRIMEINSUR,2012-05-02,51.5,53.4,50.5,51.4,24750,
PRIMETEX,2012-05-02,24.6,25.5,24.6,25.1,69000,
PROGRESLIF,2012-05-02,188,190,182.1,184.9,26500,
PROVATIINS,2012-05-02,42.5,43,42.2,42.3,47000,
PUBALIBANK,2012-05-02,34.5,35,34,34.6,405500,
PURABIGEN,2012-05-02,89.9,91,84.5,88.2,8000,
QSMDRYCELL,2012-05-02,53,54,52.5,52.8,109500,
RAHIMAFOOD,2012-05-02,24,25.5,24,24.6,161500,
RAHIMTEXT,2012-05-02,171,171,163.5,165.1,300,
RAKCERAMIC,2012-05-02,87.9,87.9,84.5,85.2,178200,
RANFOUNDRY,2012-05-02,75.1,77.4,75,76.8,29000,
RECKITTBEN,2012-05-02,700,700,681,686.6,600,
RELIANCINS,2012-05-02,86,89.7,86,86.9,2000,
RENATA,2012-05-02,1221,1229,1210,1211.8,8550,
RENWICKJA,2012-05-02,89,91.3,87,89.5,20500,
RNSPIN,2012-05-02,36.4,36.4,34.1,34.4,2909500,
RUPALIBANK,2012-05-02,106.9,107,102.3,104,39900,
RUPALIINS,2012-05-02,46,46.1,44.8,45.1,174600,
RUPALILIFE,2012-05-02,184.8,184.8,175.9,183.4,21000,
SAFKOSPINN,2012-05-02,28.7,28.8,27.6,28.2,233000,
SAIHAMTEX,2012-05-02,30.6,31.2,29.5,31.2,527000,
SALAMCRST,2012-05-02,63,63.6,62,62.2,495500,
SANDHANINS,2012-05-02,187,188,183,183.5,42250,
SAPORTL,2012-05-02,52.1,53,51,51.5,137100,
