SB71,2012-10-09,62.7473,65.4983,0,63.998,49486200,
ABBANK,2012-10-09,37.2,38,36.6,37,486650,
ACI,2012-10-09,153.5,153.8,150,150.6,28950,
ACIFORMULA,2012-10-09,69.8,71.3,68.7,69.3,52900,
ACTIVEFINE,2012-10-09,70,72.5,69.7,70,259000,
AFTABAUTO,2012-10-09,133.5,135,131.1,131.9,494100,
AGNISYSL,2012-10-09,36,38.9,36,38.8,1916000,
AGRANINS,2012-10-09,36.6,36.6,35.1,35.3,50500,
AL-HAJTEX,2012-10-09,31.8,34,31.8,33.5,17700,
ALARABANK,2012-10-09,25.7,26.6,25.6,25.7,281750,
AMBEEPHA,2012-10-09,232.3,235,232.1,232.8,2400,
AMCL(PRAN),2012-10-09,133.2,139,133.1,133.5,3100,
ANLIMAYARN,2012-10-09,28.6,28.8,28,28.8,111500,
APEXADELFT,2012-10-09,237.9,242.3,233,237.7,6200,
APEXFOODS,2012-10-09,69.2,69.4,65.3,66.1,3800,
APEXSPINN,2012-10-09,71.8,71.9,68.2,68.5,4400,
APEXTANRY,2012-10-09,92.1,96,92,92.5,60600,
ARAMIT,2012-10-09,231.5,231.5,227,227.9,5400,
ARAMITCEM,2012-10-09,78.9,80.8,78,79.4,84500,
ASIAINS,2012-10-09,40.7,42,40.2,40.7,85250,
ASIAPACINS,2012-10-09,39.5,40.4,38.3,38.9,171000,
ATLASBANG,2012-10-09,220,221.9,217,217.6,19000,
BANGAS,2012-10-09,235,244.4,228.5,242.3,18100,
BANKASIA,2012-10-09,24.5,25,23.8,23.8,445000,
BATASHOE,2012-10-09,485.1,485.1,485.1,485.1,100,
BATBC,2012-10-09,752,768,751,758.9,71900,
BAYLEASING,2012-10-09,46,46.9,44.9,45.4,444500,
BDFINANCE,2012-10-09,37,37.9,36.5,36.7,230400,
BDLAMPS,2012-10-09,131,131,127.9,128.1,3750,
BEACHHATCH,2012-10-09,32.3,33.4,32.2,33.3,480000,
BEDL,2012-10-09,42.7,43.1,41.4,43.1,2324000,
BERGERPBL,2012-10-09,507,507,506.9,506.9,1450,
BEXIMCO,2012-10-09,66.9,68.8,66.6,66.9,1542600,
BGIC,2012-10-09,40.2,41.6,39.5,40,194800,
BIFC,2012-10-09,29.4,29.4,28.1,28.2,90000,
BRACBANK,2012-10-09,36.5,36.9,34.8,35.5,565000,
BSRMSTEEL,2012-10-09,83.4,85,81.6,82.8,606500,
BXPHARMA,2012-10-09,55.7,58.7,55.7,57,389250,
BXSYNTH,2012-10-09,31,32.6,30.9,32.4,710800,
CENTRALINS,2012-10-09,41.2,41.9,40.2,40.8,95200,
CITYBANK,2012-10-09,30.8,30.8,28.5,28.8,837900,
CITYGENINS,2012-10-09,44.2,46.2,43.8,45.5,437100,
